divid,exp.max.premath.std,max.premath.std,scaled.premath,exp.max.postmath.std,max.postmath.std,scaled.postmath,rank,male,numstud,bot20,bal,mumbai,year,city,classyearid
417,2.483141650112896,3,29,2.9706990606882417,3,30,76,1,76,0,0,1,1,Mumbai,417
417,0.26393225504038725,1,14,0.1891201858982725,0,13,49,1,76,0,0,1,1,Mumbai,417
417,1.585251635381727,1,25,2.080770028835306,3,27,67,1,76,0,0,1,1,Mumbai,417
417,-0.0028251760575650157,0,2,-0.010210979252664683,0,3,32.5,1,76,0,0,1,1,Mumbai,417
417,0.3351562345493845,1,15,0.030072060481714475,0,8.5,49,1,76,0,0,1,1,Mumbai,417
417,-0.011730569483715973,0,4,0.1425388263957793,0,12,22,1,76,0,0,1,1,Mumbai,417
417,0.20489353053293644,1,13,0.1425388263957793,1,12,49,1,76,0,0,1,1,Mumbai,417
417,0.026753440928014096,0,0,-0.003760729103452741,0,2,7,1,76,1,0,1,1,Mumbai,417
417,0.026753440928014096,0,0,0.006641204624826037,0,1,15.5,1,76,1,0,1,1,Mumbai,417
417,0.5086152688934107,1,17,0.4193332461017826,1,17,45.5,1,76,0,0,1,1,Mumbai,417
417,-9.080702872152121e-4,0,6,0.04007208785849348,0,9,35,0,76,0,0,1,1,Mumbai,417
417,-9.080702872152121e-4,0,6,0.1425388263957793,0,12,26,0,76,0,0,1,1,Mumbai,417
417,0.07685145957630846,0,10,4.249772096449932e-4,0,6.5,36,0,76,0,0,1,1,Mumbai,417
417,0.5086152688934107,0,17,0.04007208785849348,0,9,54,0,76,0,0,1,1,Mumbai,417
417,0.418347963605005,1,16,0.44923263984203243,1,17.5,61,0,76,0,0,1,1,Mumbai,417
417,0.7022094137270131,0,19,0.04007208785849348,0,9,51,0,76,0,0,1,1,Mumbai,417
417,1.2289989973150477,2,23,2.5039332329272104,2,28.5,72,0,76,0,0,1,1,Mumbai,417
417,0.15516123651265945,0,12,0.32601918870698593,0,15.5,38.5,0,76,0,0,1,1,Mumbai,417
417,0.8150595147623292,0,20,2.9706990606882417,3,30,56.5,0,76,0,0,1,1,Mumbai,417
